"","window_size","variable","X10.","X90."
"137",2000,"Unknown_fam_intra",0,0.00126508607759052
"138",2000,"Unknown_fam_right",0,0.065
"139",2000,"CMC_EnSpm_left",0,0
"140",2000,"CMC_EnSpm_intra",0,0
"141",2000,"CMC_EnSpm_right",0,0
"142",2000,"Copia_left",0,0
"143",2000,"Copia_intra",0,0
"144",2000,"Copia_right",0,0
"145",2000,"LINE_fam_left",0,0
"146",2000,"LINE_fam_intra",0,0
"147",2000,"LINE_fam_right",0,0
"148",2000,"hAT_left",0,0
"149",2000,"hAT_intra",0,0
"150",2000,"hAT_right",0,0
"151",2000,"PIF_Harbinger_left",0,0
"152",2000,"PIF_Harbinger_intra",0,0
"153",2000,"PIF_Harbinger_right",0,0
"154",2000,"LTRUnknown_left",0,0.15475
"155",2000,"LTRUnknown_intra",0,0.00571645117526256
"156",2000,"LTRUnknown_right",0,0.15475
"157",2500,"DNA_left",0,0.0938
"158",2500,"DNA_intra",0,0.00121392289657025
"159",2500,"DNA_right",0,0.0976
"160",2500,"LTR_left",0,0.3074
"161",2500,"LTR_intra",0,0.0592219807571076
"162",2500,"LTR_right",0,0.3062
"163",2500,"Unknown_left",0,0.0388
"164",2500,"Unknown_intra",0,0
"165",2500,"Unknown_right",0,0.0386
"166",2500,"LINE_left",0,0
"167",2500,"LINE_intra",0,0
"168",2500,"LINE_right",0,0
"169",2500,"MULE_left",0,0
"170",2500,"MULE_intra",0,0
"171",2500,"MULE_right",0,0
"172",2500,"Gypsy_left",0,0.0806800000000018
"173",2500,"Gypsy_intra",0,0
"174",2500,"Gypsy_right",0,0.0808
"175",2500,"Unknown_fam_left",0,0.0628
"176",2500,"Unknown_fam_intra",0,0.00126508607759052
"177",2500,"Unknown_fam_right",0,0.064
"178",2500,"CMC_EnSpm_left",0,0
"179",2500,"CMC_EnSpm_intra",0,0
"180",2500,"CMC_EnSpm_right",0,0
"181",2500,"Copia_left",0,0.0126
"182",2500,"Copia_intra",0,0
"183",2500,"Copia_right",0,0.0138
"184",2500,"LINE_fam_left",0,0
"185",2500,"LINE_fam_intra",0,0
"186",2500,"LINE_fam_right",0,0
"187",2500,"hAT_left",0,0
"188",2500,"hAT_intra",0,0
"189",2500,"hAT_right",0,0
"190",2500,"PIF_Harbinger_left",0,0
"191",2500,"PIF_Harbinger_intra",0,0
"192",2500,"PIF_Harbinger_right",0,0
"193",2500,"LTRUnknown_left",0,0.1684
"194",2500,"LTRUnknown_intra",0,0.00571645117526256
"195",2500,"LTRUnknown_right",0,0.1664
"196",3000,"DNA_left",0,0.0928333333333333
"197",3000,"DNA_intra",0,0.00121392289657025
"198",3000,"DNA_right",0,0.0945
"199",3000,"LTR_left",0,0.319833333333333
"200",3000,"LTR_intra",0,0.0592219807571076
"201",3000,"LTR_right",0,0.319333333333333
"202",3000,"Unknown_left",0,0.04
"203",3000,"Unknown_intra",0,0
"204",3000,"Unknown_right",0,0.0401666666666667
"205",3000,"LINE_left",0,0
"206",3000,"LINE_intra",0,0
"207",3000,"LINE_right",0,0
"208",3000,"MULE_left",0,0
"209",3000,"MULE_intra",0,0
"210",3000,"MULE_right",0,0
"211",3000,"Gypsy_left",0,0.0943333333333333
"212",3000,"Gypsy_intra",0,0
"213",3000,"Gypsy_right",0,0.0956666666666667
"214",3000,"Unknown_fam_left",0,0.06
"215",3000,"Unknown_fam_intra",0,0.00126508607759052
"216",3000,"Unknown_fam_right",0,0.0615666666666681
"217",3000,"CMC_EnSpm_left",0,0
"218",3000,"CMC_EnSpm_intra",0,0
"219",3000,"CMC_EnSpm_right",0,0
"220",3000,"Copia_left",0,0.0225
"221",3000,"Copia_intra",0,0
"222",3000,"Copia_right",0,0.023
"223",3000,"LINE_fam_left",0,0
"224",3000,"LINE_fam_intra",0,0
"225",3000,"LINE_fam_right",0,0
"226",3000,"hAT_left",0,0
"227",3000,"hAT_intra",0,0
"228",3000,"hAT_right",0,0
"229",3000,"PIF_Harbinger_left",0,0
"230",3000,"PIF_Harbinger_intra",0,0
"231",3000,"PIF_Harbinger_right",0,0
"232",3000,"LTRUnknown_left",0,0.1745
"233",3000,"LTRUnknown_intra",0,0.00571645117526256
